epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1080.82,1.39892,1.87102,1.72357,0.51519,0.52563,0.50017,0.28561,1.43457,1.77324,1.7854,0.00113898,0.00113898,0.00113898
43,1107.09,1.33298,1.81543,1.65848,0.4675,0.54005,0.49054,0.28285,1.45221,1.78603,1.80076,0.00113191,0.00113191,0.00113191
44,1132.96,1.26839,1.73229,1.62313,0.49636,0.48918,0.48466,0.27983,1.49518,1.8279,1.8335,0.00112484,0.00112484,0.00112484
45,1158.77,1.35621,1.7603,1.67321,0.50033,0.52242,0.51478,0.29649,1.50122,1.73969,1.85487,0.00111776,0.00111776,0.00111776
46,1184.7,1.32067,1.68072,1.62757,0.59606,0.50215,0.53712,0.32341,1.40438,1.6995,1.77408,0.00111069,0.00111069,0.00111069
47,1210.63,1.34554,1.7828,1.64949,0.51478,0.55279,0.52056,0.29516,1.43206,1.81683,1.79167,0.00110362,0.00110362,0.00110362
48,1236.26,1.34602,1.79377,1.65792,0.53218,0.50829,0.50859,0.2983,1.45785,1.78824,1.7539,0.00109654,0.00109654,0.00109654
49,1261.95,1.30055,1.7437,1.61316,0.49606,0.49722,0.50839,0.30088,1.49537,1.64557,1.80902,0.00108947,0.00108947,0.00108947
50,1288.09,1.28985,1.70074,1.6319,0.58144,0.48559,0.52606,0.32152,1.46031,1.72726,1.80591,0.0010824,0.0010824,0.0010824
51,1314.04,1.25483,1.56512,1.58768,0.53581,0.5067,0.48669,0.29723,1.4092,1.86273,1.76658,0.00107532,0.00107532,0.00107532
52,1339.97,1.27753,1.66556,1.59733,0.57297,0.47255,0.52105,0.30452,1.40744,1.78906,1.75355,0.00106825,0.00106825,0.00106825
53,1365.79,1.24149,1.65385,1.582,0.60732,0.45616,0.51622,0.31473,1.45133,1.70576,1.78518,0.00106118,0.00106118,0.00106118
54,1392.06,1.26065,1.5578,1.57255,0.575,0.55559,0.55864,0.34951,1.39294,1.58991,1.76423,0.0010541,0.0010541,0.0010541
55,1417.94,1.23213,1.60033,1.57671,0.68597,0.37476,0.50662,0.31774,1.39128,1.73775,1.76806,0.00104703,0.00104703,0.00104703
56,1443.73,1.27251,1.59751,1.60848,0.52375,0.45253,0.47629,0.28813,1.49878,1.86232,1.8261,0.00103995,0.00103995,0.00103995
57,1469.67,1.19791,1.47276,1.51652,0.63323,0.46768,0.56458,0.34833,1.37344,1.60628,1.70627,0.00103288,0.00103288,0.00103288
58,1495.53,1.19831,1.52782,1.54863,0.52532,0.52068,0.5463,0.33349,1.42251,1.68302,1.7304,0.00102581,0.00102581,0.00102581
59,1521.57,1.20635,1.50976,1.54431,0.67156,0.49293,0.58342,0.3388,1.39691,1.57116,1.74606,0.00101873,0.00101873,0.00101873
60,1547.47,1.19784,1.5301,1.5566,0.61158,0.54092,0.58354,0.34479,1.37755,1.51421,1.71735,0.00101166,0.00101166,0.00101166
61,1573.22,1.22377,1.51891,1.57014,0.54822,0.55416,0.53892,0.32288,1.39184,1.76537,1.73335,0.00100459,0.00100459,0.00100459
62,1599.15,1.21484,1.56291,1.55177,0.52268,0.57738,0.55617,0.33039,1.42905,1.60922,1.7654,0.000997513,0.000997513,0.000997513
63,1625.06,1.21139,1.52891,1.54926,0.59241,0.51595,0.5751,0.35403,1.37614,1.50145,1.72589,0.00099044,0.00099044,0.00099044
64,1650.63,1.21657,1.48959,1.54708,0.64334,0.52805,0.58962,0.36182,1.36157,1.53808,1.69958,0.000983366,0.000983366,0.000983366
65,1675.72,1.17654,1.48597,1.51654,0.57018,0.50106,0.54142,0.32012,1.43351,1.61713,1.76076,0.000976293,0.000976293,0.000976293
66,1700.81,1.20048,1.49537,1.53716,0.60983,0.50178,0.56461,0.34823,1.42956,1.66346,1.78037,0.000969219,0.000969219,0.000969219
67,1726.2,1.15761,1.39915,1.51704,0.60631,0.55826,0.60118,0.36522,1.3885,1.51997,1.743,0.000962146,0.000962146,0.000962146
68,1751.27,1.21641,1.49222,1.54737,0.62766,0.5174,0.53804,0.31187,1.46349,1.68374,1.78855,0.000955072,0.000955072,0.000955072
69,1776.52,1.15286,1.40153,1.49341,0.49495,0.52775,0.52564,0.33188,1.38798,1.65689,1.71378,0.000947999,0.000947999,0.000947999
70,1801.67,1.18053,1.43772,1.50394,0.52243,0.59292,0.54199,0.32515,1.45958,1.58974,1.80999,0.000940925,0.000940925,0.000940925
71,1826.62,1.17526,1.48169,1.52118,0.5394,0.49687,0.53754,0.32447,1.41052,1.63266,1.7699,0.000933851,0.000933851,0.000933851
