epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1747,1.28958,1.4897,1.69219,0.81212,0.72112,0.81955,0.5969,1.15976,1.22793,1.57417,0.000471663,0.000471663,0.000471663
2,64.1957,1.27272,1.52757,1.62945,0.71194,0.69293,0.74979,0.52226,1.22814,1.62923,1.69692,0.000938612,0.000938612,0.000938612
3,95.0997,1.31212,1.54705,1.67656,0.63784,0.58586,0.6497,0.44181,1.31472,1.62429,1.75508,0.00139613,0.00139613,0.00139613
4,125.991,1.35547,1.62005,1.70235,0.70504,0.6272,0.69545,0.43976,1.41784,1.4901,1.8235,0.00138656,0.00138656,0.00138656
5,156.79,1.35433,1.58901,1.6896,0.6507,0.62442,0.6698,0.43335,1.3415,1.53886,1.75669,0.00137241,0.00137241,0.00137241
6,187.906,1.37404,1.69781,1.71453,0.64797,0.52015,0.58385,0.35909,1.32455,1.71354,1.7716,0.00135826,0.00135826,0.00135826
7,218.735,1.32444,1.61787,1.659,0.58536,0.6196,0.60403,0.35193,1.44422,1.91065,1.87408,0.00134412,0.00134412,0.00134412
8,251.558,1.27655,1.59001,1.65325,0.57936,0.61563,0.63696,0.40643,1.29682,1.61902,1.76669,0.00132997,0.00132997,0.00132997
9,285.601,1.29187,1.54995,1.63791,0.63284,0.62546,0.66359,0.41491,1.35023,1.4944,1.7564,0.00131582,0.00131582,0.00131582
10,317.733,1.2932,1.52238,1.65363,0.63665,0.64904,0.66534,0.42132,1.35795,1.44044,1.73769,0.00130168,0.00130168,0.00130168
11,349.745,1.32437,1.53385,1.66147,0.66547,0.5871,0.66514,0.4353,1.32262,1.48898,1.75835,0.00128753,0.00128753,0.00128753
12,383.537,1.27139,1.50158,1.61578,0.62203,0.58643,0.63791,0.40746,1.33775,1.51462,1.79323,0.00127338,0.00127338,0.00127338
13,415.876,1.23014,1.49702,1.59757,0.5889,0.52382,0.61278,0.38206,1.38479,1.62718,1.84017,0.00125923,0.00125923,0.00125923
14,449.539,1.24802,1.46509,1.61313,0.64804,0.56356,0.64318,0.42372,1.29079,1.43997,1.75092,0.00124509,0.00124509,0.00124509
15,482.138,1.26394,1.40608,1.61353,0.66157,0.58789,0.64724,0.42425,1.34899,1.50076,1.78605,0.00123094,0.00123094,0.00123094
16,514.244,1.26211,1.46857,1.62644,0.62022,0.62395,0.66452,0.4338,1.29965,1.36818,1.76075,0.00121679,0.00121679,0.00121679
17,546.585,1.28168,1.43849,1.6323,0.55062,0.666,0.64415,0.41003,1.38997,1.62613,1.79438,0.00120265,0.00120265,0.00120265
18,578.977,1.22305,1.36102,1.58523,0.68048,0.57801,0.66241,0.40863,1.41553,1.47609,1.83208,0.0011885,0.0011885,0.0011885
19,611.044,1.2443,1.40065,1.59308,0.6838,0.59865,0.64685,0.41113,1.34722,1.4788,1.81461,0.00117435,0.00117435,0.00117435
20,643.449,1.26733,1.53459,1.63557,0.60462,0.60953,0.64098,0.40895,1.36056,1.51839,1.79234,0.00116021,0.00116021,0.00116021
21,675.733,1.18334,1.3544,1.55643,0.67564,0.66958,0.72246,0.44828,1.2665,1.40606,1.71323,0.00114606,0.00114606,0.00114606
22,708.087,1.19614,1.36176,1.56926,0.61227,0.64436,0.68658,0.43485,1.32541,1.41491,1.78474,0.00113191,0.00113191,0.00113191
23,740.433,1.17074,1.30873,1.54364,0.6239,0.64457,0.67207,0.41678,1.36506,1.3795,1.78833,0.00111776,0.00111776,0.00111776
24,772.597,1.18749,1.25041,1.53727,0.60807,0.63638,0.67027,0.43021,1.23512,1.34932,1.66167,0.00110362,0.00110362,0.00110362
25,805.17,1.21385,1.32841,1.588,0.70046,0.56207,0.64108,0.40288,1.34279,1.61117,1.77347,0.00108947,0.00108947,0.00108947
26,837.327,1.149,1.28953,1.53436,0.68329,0.61467,0.67294,0.44934,1.21553,1.32118,1.67029,0.00107532,0.00107532,0.00107532
27,869.644,1.14081,1.24808,1.49795,0.7259,0.59915,0.68048,0.44442,1.2524,1.33335,1.70347,0.00106118,0.00106118,0.00106118
28,901.922,1.164,1.28942,1.5243,0.64362,0.57779,0.6527,0.39334,1.33809,1.58338,1.77092,0.00104703,0.00104703,0.00104703
29,934.674,1.13878,1.21792,1.48086,0.72973,0.63756,0.72902,0.46894,1.26194,1.24469,1.70699,0.00103288,0.00103288,0.00103288
30,966.821,1.10006,1.14893,1.49752,0.63626,0.68273,0.69802,0.4386,1.27136,1.33033,1.69883,0.00101873,0.00101873,0.00101873
31,999.222,1.09935,1.20647,1.47908,0.6929,0.60703,0.67778,0.43714,1.34125,1.34378,1.73188,0.00100459,0.00100459,0.00100459
32,1031.58,1.09708,1.12788,1.46013,0.67563,0.69161,0.71385,0.46084,1.28452,1.26154,1.69623,0.00099044,0.00099044,0.00099044
33,1064.03,1.08643,1.15823,1.4712,0.72495,0.606,0.7105,0.45285,1.34306,1.30642,1.76296,0.000976293,0.000976293,0.000976293
34,1096.39,1.11533,1.15038,1.48514,0.69843,0.57204,0.66042,0.42714,1.3229,1.32402,1.72495,0.000962146,0.000962146,0.000962146
35,1128.84,1.0794,1.10811,1.45018,0.74172,0.60972,0.715,0.47034,1.28213,1.24563,1.71635,0.000947999,0.000947999,0.000947999
36,1161.27,1.04341,1.11045,1.41215,0.70065,0.6508,0.73664,0.47963,1.32712,1.23737,1.73153,0.000933851,0.000933851,0.000933851
37,1193.68,1.06282,1.10359,1.43924,0.64931,0.63538,0.70843,0.46492,1.30005,1.21757,1.73205,0.000919704,0.000919704,0.000919704
38,1226.12,1.05574,1.12017,1.42399,0.69013,0.6523,0.69874,0.46587,1.30602,1.22145,1.7395,0.000905557,0.000905557,0.000905557
39,1258.47,1.06404,1.10675,1.44027,0.76095,0.58945,0.71635,0.48129,1.25235,1.16712,1.69065,0.00089141,0.00089141,0.00089141
40,1290.84,1.05135,1.06835,1.42914,0.69261,0.61453,0.68179,0.44897,1.24069,1.26214,1.68179,0.000877263,0.000877263,0.000877263
41,1323.23,1.0456,1.05944,1.42416,0.72476,0.64746,0.73352,0.50365,1.20924,1.25122,1.66071,0.000863116,0.000863116,0.000863116
42,1355.52,1.03873,1.06333,1.42649,0.76282,0.58973,0.7328,0.49762,1.24866,1.22088,1.6992,0.000848969,0.000848969,0.000848969
43,1388.03,1.00561,1.04622,1.3866,0.70119,0.60898,0.69352,0.47313,1.26415,1.23259,1.68646,0.000834822,0.000834822,0.000834822
44,1420.45,1.02156,1.04683,1.40409,0.76791,0.64363,0.72811,0.49445,1.23987,1.1771,1.66975,0.000820675,0.000820675,0.000820675
45,1452.96,0.99617,1.01094,1.38033,0.68953,0.66292,0.70734,0.47014,1.25084,1.26529,1.66827,0.000806528,0.000806528,0.000806528
46,1485.5,1.00248,1.02483,1.39504,0.73613,0.67922,0.73872,0.51104,1.23589,1.13098,1.64729,0.00079238,0.00079238,0.00079238
47,1517.69,0.97764,0.99742,1.38833,0.70794,0.65152,0.7156,0.48035,1.24054,1.19229,1.67139,0.000778233,0.000778233,0.000778233
48,1550.03,1.01657,1.01029,1.40892,0.75983,0.61881,0.71332,0.47247,1.32319,1.22878,1.73568,0.000764086,0.000764086,0.000764086
49,1582.66,1.00882,1.01454,1.40807,0.77994,0.59924,0.71412,0.48184,1.29126,1.15394,1.65651,0.000749939,0.000749939,0.000749939
50,1615.14,0.98429,0.97589,1.38491,0.69737,0.68827,0.7119,0.46632,1.28473,1.22268,1.6938,0.000735792,0.000735792,0.000735792
51,1647.7,0.96688,0.92831,1.37412,0.77288,0.62037,0.72294,0.4878,1.30088,1.17005,1.72908,0.000721645,0.000721645,0.000721645
52,1680.41,0.94957,0.93699,1.34723,0.72837,0.66787,0.72774,0.50169,1.23757,1.24529,1.65926,0.000707498,0.000707498,0.000707498
53,1713.3,0.93467,0.94957,1.35031,0.68116,0.62877,0.69177,0.4655,1.28504,1.2669,1.69035,0.000693351,0.000693351,0.000693351
54,1746.25,0.96154,0.95149,1.37081,0.72196,0.67426,0.72383,0.48071,1.28697,1.13526,1.72586,0.000679204,0.000679204,0.000679204
55,1779.94,0.89994,0.86832,1.30828,0.74649,0.66505,0.72457,0.48565,1.28298,1.2565,1.72011,0.000665057,0.000665057,0.000665057
56,1814.8,0.93864,0.9089,1.35077,0.78187,0.67863,0.76512,0.51023,1.25016,1.15235,1.68773,0.000650909,0.000650909,0.000650909
57,1847.47,0.9366,0.90918,1.33807,0.70261,0.67597,0.73624,0.49286,1.22228,1.20156,1.665,0.000636762,0.000636762,0.000636762
58,1880.11,0.9103,0.88502,1.33735,0.7257,0.65844,0.73457,0.49376,1.23044,1.14967,1.68645,0.000622615,0.000622615,0.000622615
59,1912.79,0.92943,0.8935,1.3188,0.75245,0.64832,0.72894,0.47885,1.25264,1.16781,1.71664,0.000608468,0.000608468,0.000608468
60,1945.01,0.8804,0.79527,1.28579,0.76285,0.66063,0.74211,0.50331,1.19995,1.15322,1.6702,0.000594321,0.000594321,0.000594321
61,1978.47,0.89188,0.82864,1.30479,0.71741,0.67991,0.73714,0.50033,1.25177,1.12733,1.68299,0.000580174,0.000580174,0.000580174
62,2011.23,0.86085,0.83405,1.28488,0.68257,0.70585,0.74794,0.50427,1.22768,1.19733,1.65415,0.000566027,0.000566027,0.000566027
63,2043.7,0.88753,0.85889,1.30272,0.6683,0.72919,0.75071,0.4867,1.23453,1.12958,1.67313,0.00055188,0.00055188,0.00055188
64,2076.26,0.89844,0.88838,1.32103,0.7476,0.69976,0.75955,0.49855,1.208,1.06193,1.6654,0.000537733,0.000537733,0.000537733
65,2108.64,0.88309,0.83372,1.29794,0.76751,0.65925,0.73965,0.48663,1.2248,1.11634,1.70706,0.000523586,0.000523586,0.000523586
66,2140.67,0.89973,0.85902,1.32304,0.74746,0.65842,0.74219,0.49536,1.22069,1.15252,1.68105,0.000509438,0.000509438,0.000509438
67,2172.81,0.85916,0.85704,1.28141,0.793,0.61997,0.7226,0.48829,1.23868,1.17228,1.68043,0.000495291,0.000495291,0.000495291
68,2205.1,0.87028,0.81469,1.28402,0.74942,0.66163,0.74071,0.49287,1.25714,1.11444,1.69666,0.000481144,0.000481144,0.000481144
69,2237.52,0.80455,0.74545,1.24167,0.80351,0.60347,0.74046,0.49875,1.23508,1.14348,1.69217,0.000466997,0.000466997,0.000466997
70,2270.1,0.83978,0.7777,1.26832,0.76109,0.63056,0.73171,0.49181,1.29394,1.15889,1.73035,0.00045285,0.00045285,0.00045285
71,2302.47,0.81459,0.75222,1.23155,0.79499,0.65162,0.74647,0.51319,1.22965,1.11361,1.71408,0.000438703,0.000438703,0.000438703
72,2334.71,0.84851,0.79001,1.26827,0.82766,0.63437,0.74931,0.50695,1.23008,1.13758,1.68137,0.000424556,0.000424556,0.000424556
73,2367.89,0.83803,0.76874,1.26145,0.68246,0.7288,0.73533,0.49217,1.26258,1.08209,1.68647,0.000410409,0.000410409,0.000410409
74,2401.02,0.809,0.73538,1.24268,0.69693,0.73265,0.75486,0.50592,1.19626,1.05708,1.66072,0.000396262,0.000396262,0.000396262
75,2433.94,0.79172,0.72167,1.22276,0.79932,0.67343,0.77171,0.51843,1.2347,1.04095,1.69908,0.000382115,0.000382115,0.000382115
76,2466.72,0.79757,0.73758,1.22903,0.78383,0.7055,0.7761,0.52317,1.22901,1.04406,1.68514,0.000367967,0.000367967,0.000367967
77,2499.51,0.82757,0.73128,1.25401,0.76032,0.63604,0.7545,0.51266,1.23518,1.07071,1.69208,0.00035382,0.00035382,0.00035382
78,2532.36,0.79569,0.70945,1.22959,0.78263,0.68267,0.7558,0.51422,1.22552,1.0794,1.66298,0.000339673,0.000339673,0.000339673
79,2564.69,0.78059,0.72967,1.21067,0.80772,0.65886,0.75243,0.51304,1.25025,1.06297,1.7066,0.000325526,0.000325526,0.000325526
80,2597.68,0.76556,0.69161,1.20099,0.72525,0.70401,0.7609,0.51194,1.25673,1.0897,1.69923,0.000311379,0.000311379,0.000311379
81,2631.3,0.76139,0.68519,1.20095,0.76673,0.67328,0.76897,0.5308,1.23609,1.04205,1.68655,0.000297232,0.000297232,0.000297232
82,2665.46,0.7542,0.68577,1.2022,0.79277,0.67522,0.76481,0.52455,1.25661,1.0717,1.6941,0.000283085,0.000283085,0.000283085
83,2698.7,0.73815,0.63743,1.18858,0.75294,0.66308,0.75897,0.51918,1.24126,1.03778,1.72231,0.000268938,0.000268938,0.000268938
84,2731.64,0.77327,0.71207,1.22112,0.81274,0.62536,0.75717,0.52031,1.19607,1.05939,1.66816,0.000254791,0.000254791,0.000254791
85,2764.9,0.77262,0.64381,1.2084,0.82304,0.66117,0.76337,0.52635,1.20303,1.07016,1.67911,0.000240644,0.000240644,0.000240644
86,2798.33,0.73314,0.65789,1.18569,0.7948,0.68547,0.77767,0.53771,1.19513,1.02058,1.64179,0.000226497,0.000226497,0.000226497
87,2831.66,0.73855,0.65689,1.17038,0.74884,0.70469,0.75999,0.52432,1.21428,1.02891,1.67508,0.000212349,0.000212349,0.000212349
88,2864.27,0.69386,0.62676,1.15225,0.81313,0.66446,0.76505,0.52796,1.1833,1.03069,1.63668,0.000198202,0.000198202,0.000198202
89,2896.87,0.75021,0.66459,1.20124,0.79631,0.66603,0.75965,0.51568,1.18432,1.04586,1.65716,0.000184055,0.000184055,0.000184055
90,2929.33,0.73575,0.65618,1.18518,0.8024,0.66077,0.75956,0.52809,1.18682,1.04659,1.64082,0.000169908,0.000169908,0.000169908
91,2980.97,0.68247,0.56065,1.16615,0.77763,0.65938,0.74626,0.50684,1.21083,1.04656,1.6743,0.000155761,0.000155761,0.000155761
92,3013.09,0.61389,0.48521,1.09497,0.81249,0.64689,0.74231,0.5099,1.20382,1.07361,1.68926,0.000141614,0.000141614,0.000141614
93,3045.28,0.60757,0.47862,1.09629,0.83687,0.6442,0.74989,0.52277,1.18538,1.08308,1.6643,0.000127467,0.000127467,0.000127467
