epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0603,0.92846,1.0471,1.29907,0.88824,0.77834,0.88225,0.6939,0.88189,0.80445,1.26827,0.000469116,0.000469116,0.000469116
2,42.6791,1.03709,1.12146,1.37734,0.81318,0.72529,0.82592,0.59281,1.02812,1.09087,1.40077,0.00092673,0.00092673,0.00092673
3,63.1669,1.10796,1.21095,1.43559,0.787,0.73538,0.80549,0.55938,1.08558,1.10012,1.44188,0.00136548,0.00136548,0.00136548
4,83.8329,1.0752,1.20955,1.39947,0.76326,0.71094,0.77717,0.55361,1.09666,1.2459,1.46916,0.00134412,0.00134412,0.00134412
5,104.67,1.09366,1.19325,1.42993,0.79405,0.67603,0.76629,0.53915,1.12796,1.16587,1.45194,0.00131582,0.00131582,0.00131582
6,125.399,1.094,1.25688,1.41256,0.78393,0.70688,0.78348,0.54383,1.12001,1.12159,1.46738,0.00128753,0.00128753,0.00128753
7,146.035,1.04825,1.12344,1.37785,0.82081,0.67829,0.80158,0.57413,1.04987,1.07233,1.38997,0.00125923,0.00125923,0.00125923
8,166.672,1.11034,1.20436,1.4083,0.81332,0.67963,0.78595,0.53998,1.1192,1.28567,1.46209,0.00123094,0.00123094,0.00123094
9,187.283,1.06286,1.15365,1.3906,0.77449,0.69636,0.78113,0.54,1.09568,1.10229,1.42758,0.00120265,0.00120265,0.00120265
10,208.321,1.0368,1.12387,1.35158,0.62567,0.7036,0.7298,0.50936,1.08447,1.09178,1.43205,0.00117435,0.00117435,0.00117435
11,229.194,1.03368,1.06948,1.35762,0.80452,0.67375,0.79504,0.56421,1.05397,0.99628,1.42479,0.00114606,0.00114606,0.00114606
12,250.706,1.01532,1.00562,1.34276,0.72182,0.68277,0.76302,0.5432,1.14338,1.10604,1.47313,0.00111776,0.00111776,0.00111776
13,272.011,1.00068,1.05928,1.34074,0.72694,0.71986,0.76604,0.53982,1.08577,1.13799,1.4167,0.00108947,0.00108947,0.00108947
14,293.497,1.01967,1.12755,1.34285,0.77925,0.63278,0.75833,0.53358,1.13679,1.11039,1.45646,0.00106118,0.00106118,0.00106118
15,314.666,0.96665,1.04532,1.32645,0.76266,0.65906,0.7438,0.52014,1.12056,1.14716,1.44025,0.00103288,0.00103288,0.00103288
16,336.145,0.9655,1.0242,1.3006,0.75627,0.71482,0.78661,0.53133,1.08625,1.09518,1.43183,0.00100459,0.00100459,0.00100459
17,357.367,0.96975,0.94954,1.31089,0.75585,0.73562,0.7976,0.55506,1.08672,1.03217,1.43537,0.000976293,0.000976293,0.000976293
18,378.822,0.95888,0.95547,1.29244,0.7481,0.70527,0.78429,0.55629,1.078,1.03466,1.39764,0.000947999,0.000947999,0.000947999
19,400.066,0.92212,0.86476,1.26164,0.78008,0.70751,0.79484,0.54856,1.06587,1.07411,1.43097,0.000919704,0.000919704,0.000919704
20,421.458,0.95033,0.9789,1.31066,0.76368,0.75224,0.7977,0.55815,1.05251,1.10657,1.41938,0.00089141,0.00089141,0.00089141
21,443.03,0.97612,0.96952,1.30453,0.79475,0.67979,0.76974,0.54593,1.06509,1.03298,1.4275,0.000863116,0.000863116,0.000863116
22,464.185,0.92096,0.88669,1.2855,0.81006,0.72973,0.81365,0.57236,1.06164,0.96671,1.43159,0.000834822,0.000834822,0.000834822
23,485.6,0.91045,0.95244,1.27586,0.81127,0.67813,0.78729,0.55553,1.08228,1.09965,1.4374,0.000806528,0.000806528,0.000806528
24,506.979,0.94364,0.91948,1.30993,0.75285,0.7081,0.78885,0.55516,1.10651,1.05178,1.46831,0.000778233,0.000778233,0.000778233
25,528.379,0.87165,0.88174,1.23633,0.85645,0.66437,0.81105,0.56882,1.09777,1.01104,1.48087,0.000749939,0.000749939,0.000749939
26,549.983,0.85704,0.86865,1.24108,0.7544,0.75042,0.80873,0.5687,1.06094,0.99194,1.43485,0.000721645,0.000721645,0.000721645
27,571.474,0.85219,0.82473,1.22688,0.80986,0.73482,0.81238,0.57754,1.05815,0.9515,1.40256,0.000693351,0.000693351,0.000693351
28,592.972,0.89671,0.87812,1.26752,0.82878,0.69306,0.80178,0.57671,1.06552,1.00731,1.42846,0.000665057,0.000665057,0.000665057
29,614.34,0.85067,0.8136,1.21932,0.81611,0.66858,0.80107,0.58143,1.02838,0.97733,1.37821,0.000636762,0.000636762,0.000636762
30,635.649,0.85641,0.81336,1.21112,0.72672,0.74284,0.79537,0.56115,1.04388,1.01523,1.39587,0.000608468,0.000608468,0.000608468
31,657.055,0.84088,0.78065,1.22654,0.84511,0.76193,0.83196,0.61315,1.02591,0.90049,1.36349,0.000580174,0.000580174,0.000580174
32,678.485,0.79783,0.75338,1.18472,0.82497,0.75277,0.84085,0.59342,1.02378,0.90867,1.40117,0.00055188,0.00055188,0.00055188
